period_in_session,subject,assessment,report_core,q
33,12,57,BB,6/10
34,12,38,OB,6/10
35,12,57,BB,6/10
36,12,60,BB,6/10
37,12,54,BB,6/10
38,12,60,BO,6/10
39,12,56,BB,6/10
41,12,60,BO,6/10
43,12,64,OO,6/10
44,12,58,BB,6/10
45,12,60,OO,6/10
46,12,48,BB,6/10
47,12,20,OB,6/10
48,12,62,BB,6/10
49,12,60,BB,8/10
50,12,55,BB,8/10
51,12,56,BB,8/10
52,12,60,OO,8/10
53,12,55,BB,8/10
54,12,52,BB,8/10
55,12,53,BB,8/10
56,12,51,BB,8/10
59,12,54,BB,8/10
60,12,40,BB,8/10
61,12,57,BB,8/10
62,12,53,BB,8/10
63,12,50,BO,8/10
64,12,57,BB,8/10
33,13,50,BO,6/10
34,13,40,BB,6/10
35,13,50,BO,6/10
36,13,58,BO,6/10
37,13,60,BB,6/10
38,13,40,BO,6/10
39,13,50,OO,6/10
40,13,63,BB,6/10
41,13,50,BB,6/10
42,13,30,BO,6/10
43,13,50,OO,6/10
44,13,66,OO,6/10
45,13,65,OO,6/10
46,13,15,BO,6/10
47,13,60,BB,6/10
48,13,50,BB,6/10
50,13,70,BB,8/10
51,13,65,BB,8/10
52,13,25,BO,8/10
53,13,65,BB,8/10
54,13,60,BB,8/10
56,13,65,BB,8/10
57,13,20,OB,8/10
58,13,65,BB,8/10
59,13,66,BB,8/10
60,13,68,BB,8/10
61,13,65,BB,8/10
62,13,15,BO,8/10
63,13,50,BO,8/10
64,13,30,BB,8/10
33,14,65,BB,6/10
34,14,65,BB,6/10
35,14,65,BB,6/10
36,14,64,BB,6/10
37,14,90,OO,6/10
38,14,64,BB,6/10
39,14,20,BB,6/10
40,14,64,BB,6/10
41,14,64,BB,6/10
42,14,64,BO,6/10
43,14,64,BB,6/10
44,14,80,OO,6/10
45,14,0,BO,6/10
46,14,64,BB,6/10
47,14,64,BB,6/10
48,14,0,BO,6/10
49,14,64,BB,8/10
50,14,64,BB,8/10
51,14,0,BB,8/10
52,14,0,BO,8/10
53,14,64,BB,8/10
54,14,64,BB,8/10
55,14,64,BB,8/10
57,14,64,BB,8/10
58,14,64,BB,8/10
59,14,0,BO,8/10
60,14,64,BB,8/10
61,14,64,BB,8/10
62,14,0,OB,8/10
63,14,64,BB,8/10
64,14,64,BB,8/10
34,15,52,BB,6/10
35,15,50,BB,6/10
36,15,66,BB,6/10
38,15,70,OO,6/10
39,15,20,BO,6/10
40,15,66,OO,6/10
41,15,21,BO,6/10
42,15,68,BB,6/10
43,15,1,OB,6/10
44,15,60,BB,6/10
45,15,70,OO,6/10
46,15,62,BB,6/10
47,15,70,BB,6/10
48,15,25,BO,6/10
49,15,60,BB,8/10
50,15,33,BO,8/10
51,15,60,BB,8/10
52,15,70,BB,8/10
53,15,66,BB,8/10
54,15,33,BO,8/10
55,15,33,BO,8/10
56,15,66,BB,8/10
57,15,66,BB,8/10
58,15,69,BB,8/10
59,15,66,BB,8/10
61,15,66,BB,8/10
62,15,66,BB,8/10
63,15,66,BB,8/10
64,15,66,BB,8/10
33,16,44,BO,6/10
34,16,44,BO,6/10
35,16,74,OO,6/10
36,16,80,BB,6/10
37,16,80,BB,6/10
38,16,70,OO,6/10
39,16,80,BB,6/10
40,16,77,BB,6/10
41,16,70,OO,6/10
42,16,77,BB,6/10
43,16,70,OO,6/10
44,16,70,OO,6/10
45,16,0,OB,6/10
46,16,70,OO,6/10
48,16,15,BO,6/10
49,16,15,BO,8/10
50,16,15,BO,8/10
51,16,15,BO,8/10
52,16,78,BB,8/10
53,16,15,BO,8/10
54,16,15,BO,8/10
55,16,80,BB,8/10
56,16,80,BB,8/10
57,16,15,BO,8/10
58,16,80,BB,8/10
59,16,80,BB,8/10
60,16,15,BO,8/10
61,16,80,BB,8/10
62,16,80,BB,8/10
63,16,78,BB,8/10
64,16,0,OB,8/10
33,17,50,OO,6/10
34,17,50,BB,6/10
35,17,50,BB,6/10
36,17,50,OB,6/10
37,17,50,BB,6/10
38,17,50,BB,6/10
39,17,50,BO,6/10
40,17,50,BB,6/10
41,17,50,BB,6/10
42,17,50,BO,6/10
43,17,50,BO,6/10
44,17,50,BB,6/10
45,17,50,BB,6/10
46,17,50,OB,6/10
47,17,50,BO,6/10
48,17,50,BB,6/10
49,17,50,BB,8/10
50,17,50,BO,8/10
51,17,50,BB,8/10
52,17,50,BB,8/10
53,17,50,BB,8/10
54,17,50,BB,8/10
55,17,50,BB,8/10
56,17,50,BB,8/10
57,17,50,BO,8/10
58,17,50,BB,8/10
60,17,50,BB,8/10
61,17,50,OB,8/10
62,17,50,BB,8/10
63,17,50,OB,8/10
33,18,15.13,BO,6/10
35,18,72.34999999999999,BB,6/10
36,18,81,BB,6/10
37,18,74.18000000000001,OO,6/10
38,18,78.5,BB,6/10
40,18,74.86,BB,6/10
41,18,.57,OB,6/10
42,18,83.62,BB,6/10
43,18,68.59999999999999,BB,6/10
44,18,22.53,BO,6/10
45,18,77.7,BB,6/10
46,18,74.18000000000001,BB,6/10
47,18,64.73,BB,6/10
48,18,60.03,OO,6/10
49,18,20.01,BO,8/10
50,18,80.04000000000001,BB,8/10
51,18,74.40000000000001,BB,8/10
52,18,77.59,BB,8/10
53,18,77.93000000000001,BB,8/10
54,18,66.89,OO,8/10
55,18,77.7,BB,8/10
56,18,80.04000000000001,BB,8/10
57,18,20.01,BO,8/10
58,18,78.16,BB,8/10
59,18,20.01,BO,8/10
60,18,78.95,BB,8/10
61,18,80.04000000000001,BB,8/10
62,18,80.04000000000001,BB,8/10
64,18,80.04000000000001,BB,8/10
33,19,50,OO,6/10
34,19,43,OB,6/10
35,19,72,BB,6/10
36,19,70,BB,6/10
37,19,25,OB,6/10
38,19,70,BB,6/10
39,19,68,OO,6/10
40,19,72,OO,6/10
41,19,73,BB,6/10
42,19,40,BO,6/10
43,19,69,BB,6/10
44,19,75,BB,6/10
45,19,25,BO,6/10
46,19,30,BO,6/10
47,19,67,BB,6/10
48,19,66,BB,6/10
49,19,60,BB,8/10
50,19,50,BB,8/10
51,19,50,BB,8/10
53,19,50,BB,8/10
55,19,25,BO,8/10
56,19,25,BO,8/10
57,19,50,BB,8/10
58,19,50,BB,8/10
59,19,60,BB,8/10
60,19,50,BB,8/10
61,19,70,BB,8/10
62,19,20,BO,8/10
63,19,25,BO,8/10
64,19,50,BB,8/10
33,20,60,BB,6/10
34,20,45,BB,6/10
36,20,33,BB,6/10
37,20,25,BB,6/10
39,20,40,BB,6/10
40,20,50,OO,6/10
41,20,50,BB,6/10
42,20,33,BO,6/10
43,20,33,BB,6/10
45,20,30,OB,6/10
46,20,55,BO,6/10
47,20,45,BO,6/10
48,20,50,OO,6/10
