subject,truthper6,truthper8
1,.875,0
2,.5625,.125
3,.6875,.625
4,1,0
5,.125,0
6,1,1
7,.875,.6875
8,0,0
9,0,0
10,1,0
23,.1875,0
24,.125,.6875
25,.75,.8125
26,.9375,.0625
27,.3125,.1875
28,.25,0
29,.8125,.75
30,.0625,.75
31,.1875,1
32,1,0
33,1,.9375
34,.6875,.625
93,.625,.6875
94,.75,.5
95,.3125,.25
96,.8125,.1875
97,.25,.375
98,.75,.5
99,.5,.1875
100,.375,.125
101,.375,.0625
102,0,0
103,0,0
104,.8125,.625
141,0,0
142,0,0
143,0,.0625
144,.4375,0
145,.75,1
146,.375,.5625
147,0,0
148,.375,.8125
149,.3125,.4375
150,.9375,1
151,.375,.3125
152,.75,.875
