period_in_session,subject,behavioral_evaluator_choice,bayes_evaluator_choice,session,subject_in_session,group,q,bluecore,blueshell,block,period_in_block,evaluator_choice,payoff,game,order,bluereport,period_in_treatment,role,urn,reporter_choice,reporter_truth,q8,lateblock,cc,hf,cl,ca,orangereport_orangecore,bluereport_bluecore,bluereport_orangecore,orangereport_bluecore,oreport_ocore_vs_breport_bcore,breport_bcore_vs_breport_ocore,breport_ocore_vs_oreport_bcore
1,1,,,1,1,1,6,1,0,1,1,70,.7,HF,6868,1,1,reporter,uninformative,lie,0,0,0,0,1,0,0,0,1,0,0,1,0,
2,1,,,1,1,1,6,1,0,1,2,50,.5,HF,6868,1,2,reporter,uninformative,lie,0,0,0,0,1,0,0,0,1,0,0,1,0,
3,1,,,1,1,1,6,1,0,1,3,23,.23,HF,6868,0,3,reporter,uninformative,truth,1,0,0,0,1,0,0,0,0,0,1,,,1
4,1,,,1,1,1,6,0,1,1,4,25,.25,HF,6868,1,4,reporter,uninformative,truth,1,0,0,0,1,0,0,0,0,1,0,,1,0
5,1,,,1,1,1,6,1,1,1,5,40,.4,HF,6868,1,5,reporter,informative,truth,1,0,0,0,1,0,0,0,1,0,0,1,0,
6,1,,,1,1,1,6,1,1,1,6,52,.52,HF,6868,1,6,reporter,informative,truth,1,0,0,0,1,0,0,0,1,0,0,1,0,
7,1,,,1,1,1,6,1,0,1,7,23,.23,HF,6868,0,7,reporter,uninformative,truth,1,0,0,0,1,0,0,0,0,0,1,,,1
8,1,,,1,1,1,6,1,1,1,8,73,.73,HF,6868,1,8,reporter,informative,truth,1,0,0,0,1,0,0,0,1,0,0,1,0,
9,1,,,1,1,1,6,0,0,1,9,55,.55,HF,6868,0,9,reporter,uninformative,truth,1,0,0,0,1,0,0,1,0,0,0,0,,
10,1,,,1,1,1,6,1,1,1,10,66.55,.67,HF,6868,1,10,reporter,uninformative,truth,1,0,0,0,1,0,0,0,1,0,0,1,0,
11,1,,,1,1,1,6,1,1,1,11,68,.6800000000000001,HF,6868,1,11,reporter,uninformative,truth,1,0,0,0,1,0,0,0,1,0,0,1,0,
12,1,,,1,1,1,6,1,0,1,12,23,.23,HF,6868,0,12,reporter,uninformative,truth,1,0,0,0,1,0,0,0,0,0,1,,,1
13,1,,,1,1,1,6,1,1,1,13,65,.65,HF,6868,1,13,reporter,uninformative,truth,1,0,0,0,1,0,0,0,1,0,0,1,0,
14,1,,,1,1,1,6,1,0,1,14,33,.33,HF,6868,0,14,reporter,uninformative,truth,1,0,0,0,1,0,0,0,0,0,1,,,1
15,1,,,1,1,1,6,1,1,1,15,62.46,.62,HF,6868,1,15,reporter,informative,truth,1,0,0,0,1,0,0,0,1,0,0,1,0,
16,1,,,1,1,1,6,1,1,1,16,70,.7,HF,6868,1,16,reporter,uninformative,truth,1,0,0,0,1,0,0,0,1,0,0,1,0,
17,1,,,1,1,1,8,1,1,2,1,50,.5,HF,6868,1,1,reporter,informative,lie,0,1,0,0,1,0,0,0,1,0,0,1,0,
18,1,,,1,1,1,8,1,1,2,2,50,.5,HF,6868,1,2,reporter,informative,lie,0,1,0,0,1,0,0,0,1,0,0,1,0,
19,1,,,1,1,1,8,1,0,2,3,80,.8,HF,6868,1,3,reporter,uninformative,lie,0,1,0,0,1,0,0,0,1,0,0,1,0,
20,1,,,1,1,1,8,0,0,2,4,0,0,HF,6868,1,4,reporter,informative,lie,0,1,0,0,1,0,0,0,0,1,0,,1,0
21,1,,,1,1,1,8,1,1,2,5,58,.58,HF,6868,1,5,reporter,informative,lie,0,1,0,0,1,0,0,0,1,0,0,1,0,
22,1,,,1,1,1,8,1,1,2,6,55,.55,HF,6868,1,6,reporter,uninformative,lie,0,1,0,0,1,0,0,0,1,0,0,1,0,
23,1,,,1,1,1,8,1,1,2,7,65.76000000000001,.66,HF,6868,1,7,reporter,informative,lie,0,1,0,0,1,0,0,0,1,0,0,1,0,
24,1,,,1,1,1,8,0,0,2,8,50,.5,HF,6868,1,8,reporter,informative,lie,0,1,0,0,1,0,0,0,0,1,0,,1,0
25,1,,,1,1,1,8,0,1,2,9,40,.4,HF,6868,1,9,reporter,uninformative,lie,0,1,0,0,1,0,0,0,0,1,0,,1,0
26,1,,,1,1,1,8,1,1,2,10,61,.61,HF,6868,1,10,reporter,informative,lie,0,1,0,0,1,0,0,0,1,0,0,1,0,
27,1,,,1,1,1,8,1,1,2,11,68,.6800000000000001,HF,6868,1,11,reporter,uninformative,lie,0,1,0,0,1,0,0,0,1,0,0,1,0,
28,1,,,1,1,1,8,1,1,2,12,55,.55,HF,6868,1,12,reporter,informative,lie,0,1,0,0,1,0,0,0,1,0,0,1,0,
29,1,,,1,1,1,8,0,1,2,13,35,.35,HF,6868,1,13,reporter,uninformative,lie,0,1,0,0,1,0,0,0,0,1,0,,1,0
30,1,,,1,1,1,8,0,0,2,14,33,.33,HF,6868,1,14,reporter,uninformative,lie,0,1,0,0,1,0,0,0,0,1,0,,1,0
31,1,,,1,1,1,8,0,1,2,15,15,.15,HF,6868,1,15,reporter,uninformative,lie,0,1,0,0,1,0,0,0,0,1,0,,1,0
32,1,,,1,1,1,8,1,1,2,16,50,.5,HF,6868,1,16,reporter,informative,lie,0,1,0,0,1,0,0,0,1,0,0,1,0,
33,1,,,1,1,1,6,0,0,3,1,50,.5,HF,6868,0,17,reporter,informative,truth,1,0,1,0,1,0,0,1,0,0,0,0,,
34,1,,,1,1,1,6,1,1,3,2,55,.55,HF,6868,1,18,reporter,informative,truth,1,0,1,0,1,0,0,0,1,0,0,1,0,
35,1,,,1,1,1,6,0,1,3,3,40,.4,HF,6868,1,19,reporter,uninformative,truth,1,0,1,0,1,0,0,0,0,1,0,,1,0
36,1,,,1,1,1,6,0,0,3,4,45,.45,HF,6868,0,20,reporter,informative,truth,1,0,1,0,1,0,0,1,0,0,0,0,,
37,1,,,1,1,1,6,0,0,3,5,45,.45,HF,6868,0,21,reporter,informative,truth,1,0,1,0,1,0,0,1,0,0,0,0,,
38,1,,,1,1,1,6,1,1,3,6,65,.65,HF,6868,1,22,reporter,uninformative,truth,1,0,1,0,1,0,0,0,1,0,0,1,0,
39,1,,,1,1,1,6,0,1,3,7,40,.4,HF,6868,1,23,reporter,uninformative,truth,1,0,1,0,1,0,0,0,0,1,0,,1,0
40,1,,,1,1,1,6,0,0,3,8,66,.66,HF,6868,0,24,reporter,informative,truth,1,0,1,0,1,0,0,1,0,0,0,0,,
41,1,,,1,1,1,6,1,0,3,9,.57,.01,HF,6868,0,25,reporter,uninformative,truth,1,0,1,0,1,0,0,0,0,0,1,,,1
42,1,,,1,1,1,6,1,1,3,10,83.62000000000001,.84,HF,6868,1,26,reporter,uninformative,truth,1,0,1,0,1,0,0,0,1,0,0,1,0,
43,1,,,1,1,1,6,1,0,3,11,1,.01,HF,6868,0,27,reporter,uninformative,truth,1,0,1,0,1,0,0,0,0,0,1,,,1
44,1,,,1,1,1,6,0,1,3,12,22.53,.23,HF,6868,1,28,reporter,uninformative,truth,1,0,1,0,1,0,0,0,0,1,0,,1,0
45,1,,,1,1,1,6,1,0,3,13,30,.3,HF,6868,0,29,reporter,uninformative,truth,1,0,1,0,1,0,0,0,0,0,1,,,1
46,1,,,1,1,1,6,1,1,3,14,62,.62,HF,6868,1,30,reporter,informative,truth,1,0,1,0,1,0,0,0,1,0,0,1,0,
47,1,,,1,1,1,6,1,1,3,15,55,.55,HF,6868,1,31,reporter,uninformative,lie,0,0,1,0,1,0,0,0,1,0,0,1,0,
48,1,,,1,1,1,6,1,0,3,16,50,.5,HF,6868,1,32,reporter,uninformative,lie,0,0,1,0,1,0,0,0,1,0,0,1,0,
49,1,,,1,1,1,8,1,1,4,1,64,.64,HF,6868,1,17,reporter,informative,lie,0,1,1,0,1,0,0,0,1,0,0,1,0,
50,1,,,1,1,1,8,1,1,4,2,80.04000000000001,.8,HF,6868,1,18,reporter,informative,lie,0,1,1,0,1,0,0,0,1,0,0,1,0,
51,1,,,1,1,1,8,1,0,4,3,50,.5,HF,6868,1,19,reporter,uninformative,lie,0,1,1,0,1,0,0,0,1,0,0,1,0,
52,1,,,1,1,1,8,1,1,4,4,55,.55,HF,6868,1,20,reporter,informative,lie,0,1,1,0,1,0,0,0,1,0,0,1,0,
53,1,,,1,1,1,8,1,1,4,5,50,.5,HF,6868,1,21,reporter,informative,lie,0,1,1,0,1,0,0,0,1,0,0,1,0,
54,1,,,1,1,1,8,0,0,4,6,33,.33,HF,6868,1,22,reporter,informative,lie,0,1,1,0,1,0,0,0,0,1,0,,1,0
55,1,,,1,1,1,8,1,1,4,7,53,.53,HF,6868,1,23,reporter,informative,lie,0,1,1,0,1,0,0,0,1,0,0,1,0,
56,1,,,1,1,1,8,1,1,4,8,51,.51,HF,6868,1,24,reporter,informative,lie,0,1,1,0,1,0,0,0,1,0,0,1,0,
57,1,,,1,1,1,8,0,1,4,9,50,.5,HF,6868,1,25,reporter,uninformative,lie,0,1,1,0,1,0,0,0,0,1,0,,1,0
58,1,,,1,1,1,8,1,1,4,10,50,.5,HF,6868,1,26,reporter,uninformative,lie,0,1,1,0,1,0,0,0,1,0,0,1,0,
59,1,,,1,1,1,8,0,1,4,11,0,0,HF,6868,1,27,reporter,uninformative,lie,0,1,1,0,1,0,0,0,0,1,0,,1,0
60,1,,,1,1,1,8,1,1,4,12,55,.55,HF,6868,1,28,reporter,informative,lie,0,1,1,0,1,0,0,0,1,0,0,1,0,
61,1,,,1,1,1,8,1,0,4,13,55,.55,HF,6868,1,29,reporter,uninformative,lie,0,1,1,0,1,0,0,0,1,0,0,1,0,
62,1,,,1,1,1,8,0,0,4,14,20,.2,HF,6868,1,30,reporter,uninformative,lie,0,1,1,0,1,0,0,0,0,1,0,,1,0
